name,annotated_assign_count,annotated_func_params_count,annotated_func_returns_count,total_assign_count,total_func_params_count,total_func_returns_count,unannotated_assign_count,unannotated_func_params_count,unannotated_func_returns_count,py_code_loc,py_code_loc_ratio,py_docstring_loc,py_docstring_loc_ratio,py_comment_loc,py_comment_loc_ratio,py_empty_loc,py_empty_loc_ratio,pylint_convention_msg,pylint_refactor_msg,pylint_warning_msg,pylint_error_msg,py_non_empty_loc,pylint_score,cyclomatic_complexity,cognitive_complexity,bug_score
eclipse/paho.mqtt.testing,0,46,4,2731,1729,823,2731,1683,819,8953,0.7228,1320,0.1066,361,0.0291,1752,0.14150000000000001,2600,253,8254,220,10634,0.0,2856,4893,12
TalwalkarLab/paleo,0,0,0,1501,879,316,1501,879,316,9268,0.7748,1120,0.09359999999999999,391,0.0327,1183,0.0989,719,157,235,27,10779,6.0,662,939,3
Lyonk71/pandas-dedupe,0,0,0,104,75,14,104,75,14,338,0.43,217,0.2761,82,0.1043,149,0.18960000000000002,136,14,23,5,637,2.95,46,134,8
holoviz/param,0,0,0,2764,2078,1243,2764,2078,1243,9586,0.5951,2978,0.18489999999999998,580,0.036000000000000004,2964,0.184,2100,333,436,130,13144,0.0,2738,2993,64
ioam/parambokeh,0,0,0,258,87,46,258,87,46,814,0.6271,142,0.1094,82,0.0632,260,0.2003,128,27,70,39,1038,3.3,198,311,17
josiahcarlson/parse-crontab,0,0,0,132,113,39,132,113,39,563,0.7091,93,0.11710000000000001,30,0.0378,108,0.136,95,5,11,1,686,7.58,143,216,9
r1chardj0n3s/parse,0,0,0,406,247,145,406,247,145,1377,0.5157,801,0.3,193,0.0723,299,0.11199999999999999,361,26,36,0,2371,6.37,277,309,39
gtaylor/paypal-python,0,0,0,199,118,66,199,118,66,876,0.474,620,0.33549999999999996,133,0.07200000000000001,219,0.1185,77,10,59,16,1629,5.76,153,158,21
smitchell556/pdb-attach,0,0,0,193,82,76,193,82,76,675,0.5649000000000001,263,0.22010000000000002,33,0.0276,224,0.18739999999999998,41,6,34,15,971,7.31,144,100,14
dothinking/pdf2docx,4,353,1,1445,1085,528,1441,732,527,4465,0.4395,2767,0.2724,1115,0.10980000000000001,1812,0.1784,1938,89,138,45,8347,4.17,1477,2107,170
Belval/pdf2image,0,0,0,332,212,134,332,212,134,1952,0.73,239,0.0894,148,0.0553,335,0.1253,286,22,83,2,2339,6.33,273,321,1
susundberg/pebble-linux-remote,0,0,0,818,375,152,818,375,152,2226,0.5922,710,0.1889,50,0.013300000000000001,773,0.20559999999999998,623,85,134,15,2986,5.21,363,400,0
hynek/pem,4,9,12,191,111,85,187,102,73,890,0.4412,547,0.2712,210,0.1041,370,0.1834,96,2,9,15,1647,6.63,239,37,15
rezakamalifard/persian,0,1,1,12,21,19,12,20,18,101,0.3389,145,0.4866,5,0.0168,47,0.1577,24,0,0,0,251,6.47,13,0,6
jaredhendrickson13/pfsense-automator,0,0,0,2098,353,83,2098,353,83,4857,0.6409999999999999,641,0.08460000000000001,1860,0.2455,219,0.028900000000000002,2368,295,151,3,7358,3.11,1859,8665,6
abe-winter/pg13-py,0,0,0,604,765,506,604,765,506,3087,0.7016,350,0.0795,418,0.095,545,0.12390000000000001,700,62,2792,22,3855,0.0,1101,968,11
